--- INICIO DEL PROCESO DE RENOMBRADO en epublibre ---
Archivo 'AA. VV. - Damas del crimen [37417] (r1.2).epub' renombrado y copiado a DONE como 'James, AA. VV. & Alicia Giménez Bartlett & Ruth Rendell & Agatha Christie & Patricia Highsmith & P. D. - Damas del crimen [37417] (r1.2).epub'
Archivo 'AA. VV. - La Tierra Media [15618] (r1.3).epub' renombrado y copiado a DONE como 'VV., AA. - La Tierra Media [15618] (r1.3).epub'
Archivo 'Abe, Shana - La estrella del Titanic [81727] (r1.0).epub' renombrado y copiado a DONE como 'Abé, Shana - La estrella del Titanic [81727] (r1.0).epub'
Archivo 'Abercrombie, Joe - [Historias del Mundo de La Primera Ley 01] La mejor venganza [4234] (r2.9).epub' renombrado y copiado a DONE como 'Abercrombie, Joe - La mejor venganza.epub'
Archivo 'Ackroyd, Peter - Los Lamb de Londres [57903] (r1.3).epub' renombrado y copiado a DONE como 'Ackroyd, Peter - Los Lamb de Londres [57903] (r1.3).epub'
Archivo 'Agundez, Maria - Casas limpias [81519] (r1.0).epub' renombrado y copiado a DONE como 'Agúndez, María - Casas limpias [81519] (r1.0).epub'
Archivo 'Akbar, Kaveh - Martir [79147] (r1.0).epub' renombrado y copiado a DONE como 'Akbar, Kaveh - ¡Mártir! [79147] (r1.0).epub'
Archivo 'Alandes, Javier - El rey del bronce [81752] (r1.0).epub' renombrado y copiado a DONE como 'Alandes, Javier - El rey del bronce [81752] (r1.0).epub'
Archivo 'Alandes, Javier - Las tres vidas del pintor de la luz [80598] (r1.0).epub' renombrado y copiado a DONE como 'Alandes, Javier - Las tres vidas del pintor de la luz [80598] (r1.0).epub'
Archivo 'Aleksievich, Svetlana - El fin del Homo sovieticus [50243] (r1.6).epub' renombrado y copiado a DONE como 'Aleksievich, Svetlana - El fin del «Homo sovieticus» [50243] (r1.6).epub'
Archivo 'Allfrey, Phyllis Shand - La casa de las orquideas [81544] (r1.0).epub' renombrado y copiado a DONE como 'Allfrey, Phyllis Shand - La casa de las orquídeas [81544] (r1.0).epub'
Archivo 'Alvarez, Ana - La mejor apuesta [79362] (r1.0).epub' renombrado y copiado a DONE como 'Álvarez, Ana - La mejor apuesta [79362] (r1.0).epub'
Archivo 'Alvarez, Tomas - Comentarios al Libro de la Vida de Santa Teresa de Jesus [81648] (r1.0).epub' renombrado y copiado a DONE como 'Álvarez, Tomás - Comentarios al «Libro de la Vida» de Santa Teresa de Jesús [81648] (r1.0).epub'
Archivo 'Ames, Jonathan - En realidad, nunca estuviste aqui [81744] (r1.0).epub' renombrado y copiado a DONE como 'Ames, Jonathan - En realidad, nunca estuviste aquí [81744] (r1.0).epub'
Archivo 'Anaya Dominguez, Francisco - Sueno de vida [48038] (r1.4).epub' renombrado y copiado a DONE como 'Domínguez, Francisco Anaya - Sueño de vida [48038] (r1.4).epub'
Archivo 'Aoyama, Michiko - Mis tardes en el pequeno cafe de Tokio [79800] (r1.0).epub' renombrado y copiado a DONE como 'Aoyama, Michiko - Mis tardes en el pequeño café de Tokio [79800] (r1.0).epub'
Archivo 'Arendt, Hannah - Hombres en tiempos de oscuridad [58708] (r2.0).epub' renombrado y copiado a DONE como 'Arendt, Hannah - Hombres en tiempos de oscuridad [58708] (r2.0).epub'
Archivo 'Arriaga Jordan, Guillermo - El Hombre [80706] (r1.0).epub' renombrado y copiado a DONE como 'Jordán, Guillermo Arriaga - El Hombre [80706] (r1.0).epub'
Archivo 'Asimov, Isaac - Estoy en Puertomarte sin Hilda [17416] (r1.4).epub' renombrado y copiado a DONE como 'Asimov, Isaac - Estoy en Puertomarte sin Hilda [17416] (r1.4).epub'
Archivo 'Atwood, Margaret - Perdidas en el bosque [77528] (r1.1).epub' renombrado y copiado a DONE como 'Atwood, Margaret - Perdidas en el bosque [77528] (r1.1).epub'
Archivo 'Austen, Jane - Emma [55] (r1.3).epub' renombrado y copiado a DONE como 'Austen, Jane - Emma [55] (r1.3).epub'
Archivo 'Austen, Jane - La abadia de Northanger (trad. Jose C. Vales) [81675] (r1.0).epub' renombrado y copiado a DONE como 'Austen, Jane - La abadía de Northanger (trad. José C. Vales) (trad. Jose C. Vales) [81675] (r1.0).epub'
Archivo 'Austen, Jane - Lady Susan (trad. Eduardo Berti) [81679] (r1.0).epub' renombrado y copiado a DONE como 'Austen, Jane - Lady Susan (trad. Eduardo Berti) (trad. Eduardo Berti) [81679] (r1.0).epub'
Archivo 'Austen, Jane - Mansfield Park [53] (r1.4).epub' renombrado y copiado a DONE como 'Austen, Jane - Mansfield Park [53] (r1.4).epub'
Archivo 'Austen, Jane - Novelas Completas de Jane Austen [81692] (r1.0).epub' renombrado y copiado a DONE como 'Austen, Jane - Novelas Completas de Jane Austen [81692] (r1.0).epub'
Archivo 'Austen, Jane - Orgullo y prejuicio (Trad. Jose Jordan de Urries y Azara. Coleccion BNE) [81636] (r1.0).epub' renombrado y copiado a DONE como 'Austen, Jane - Orgullo y prejuicio (Trad. José Jordán de Urríes y Azara. Colección BNE) (Trad. Jose Jordan de Urries y Azara. Coleccion BNE) [81636] (r1.0).epub'
Archivo 'Austen, Jane - Persuasion [5846] (r1.1).epub' renombrado y copiado a DONE como 'Austen, Jane - Persuasión [5846] (r1.1).epub'
Archivo 'Austen, Jane - Sentido y sensibilidad [5845] (r1.5).epub' renombrado y copiado a DONE como 'Austen, Jane - Sentido y sensibilidad [5845] (r1.5).epub'
Archivo 'Axat, Federico - El dia de mi muerte [79591] (r1.0).epub' renombrado y copiado a DONE como 'Axat, Federico - El día de mi muerte [79591] (r1.0).epub'
Archivo 'Ayen, Xavi - Aquellos annos del boom [67971] (r1.0 jugaor).epub' renombrado y copiado a DONE como 'Ayén, Xavi - Aquellos años del boom [67971] (r1.0 jugaor).epub'
Archivo 'Azorin Anton, Ruben - Asesinato en la Estacion Espacial [80644] (r1.0).epub' renombrado y copiado a DONE como 'Antón, Rubén Azorín - Asesinato en la Estación Espacial [80644] (r1.0).epub'
Archivo 'Azuaje, Ricardo - A imagen y semejanza [81502] (r1.0).epub' renombrado y copiado a DONE como 'Azuaje, Ricardo - A imagen y semejanza [81502] (r1.0).epub'
Archivo 'Baeza, Laura - Una grieta en la noche [81665] (r1.0).epub' renombrado y copiado a DONE como 'Baeza, Laura - Una grieta en la noche [81665] (r1.0).epub'
Archivo 'Balzac, Honore de - Penas de amor de una gata inglesa [36999] (r1.2).epub' renombrado y copiado a DONE como 'Balzac, Honoré de - Penas de amor de una gata inglesa [36999] (r1.2).epub'
Archivo 'Barbulo, Tomas - [El Saharaui 02] Virgenes y verdugos [48732] (r1.2).epub' renombrado y copiado a DONE como 'Bárbulo, Tomás - Vírgenes y verdugos.epub'
Archivo 'Barker, J. D. & Patterson, James - La desconocida [78899] (r1.0).epub' renombrado y copiado a DONE como 'Patterson, J. D. Barker & James - La desconocida [78899] (r1.0).epub'
Archivo 'Battaner, Eduardo - Chandrasekhar [81736] (r1.0).epub' renombrado y copiado a DONE como 'Battaner, Eduardo - Chandrasekhar [81736] (r1.0).epub'
Archivo 'Battaner, Eduardo - Historia de la fisica del universo [81343] (r1.0).epub' renombrado y copiado a DONE como 'Battaner, Eduardo - Historia de la física del universo [81343] (r1.0).epub'
